Model	Shot	Accuracy	Precision	Recall	F1	p-value
covamnet	1	0.7622	0.8020	0.7622	0.7634	5.3709e-83
covamnet	5	0.5178	0.6701	0.5178	0.4972	1.0411e-16
protonet	1	0.9622	0.9626	0.9622	0.9621	3.4559e-176
protonet	5	0.9400	0.9404	0.9400	0.9399	4.2416e-164
cosine	1	0.9756	0.9767	0.9756	0.9755	1.1939e-183
cosine	5	0.9644	0.9647	0.9644	0.9644	2.0221e-177
covamnet	1	0.7622	0.8020	0.7622	0.7634	5.3709e-83
covamnet	5	0.5178	0.6701	0.5178	0.4972	1.0411e-16
covamnet	1	0.7733	0.8042	0.7733	0.7749	2.9769e-87
covamnet	5	0.8111	0.8342	0.8111	0.8115	1.5569e-102
protonet	1	0.9644	0.9645	0.9644	0.9644	2.0221e-177
protonet	5	0.9400	0.9404	0.9400	0.9399	4.2416e-164
cosine	1	0.9756	0.9767	0.9756	0.9755	1.1939e-183
cosine	5	0.9644	0.9647	0.9644	0.9644	2.0221e-177
protonet	1	0.8489	0.8760	0.8489	0.8438	4.55e-119
