Shot	Samples	Accuracy	Precision	Recall	F1	p-value
5	30	0.9356	0.9420	0.9356	0.9352	9.85e-162
1	30	0.9244	0.9270	0.9244	0.9243	6.79e-156
5	60	0.9422	0.9483	0.9422	0.9419	2.74e-165
1	60	0.9400	0.9428	0.9400	0.9398	4.24e-164
5	90	0.9689	0.9689	0.9689	0.9689	6.72e-180
1	90	0.9356	0.9446	0.9356	0.9350	9.85e-162
1	30	0.9289	0.9306	0.9289	0.9288	3.23e-158
1	60	0.9311	0.9414	0.9311	0.9305	2.20e-159
1	90	0.9267	0.9399	0.9267	0.9258	4.71e-157
5	30	0.9311	0.9348	0.9311	0.9318	2.20e-159
5	60	0.9733	0.9753	0.9733	0.9733	2.14e-182
5	90	0.9911	0.9913	0.9911	0.9911	1.49e-192
1	all	0.9267	0.9399	0.9267	0.9258	4.71e-157
