File Name,Status,Output 224x224,Output Labeled,Scalogram Shape,PD Type
pulse10_corona23.mat,Processed,corona_pulse1_224x224.png,corona_pulse1_scalogram_labeled.png,"(224, 224, 3)",corona
pulse10_corona24.mat,Processed,corona_pulse2_224x224.png,corona_pulse2_scalogram_labeled.png,"(224, 224, 3)",corona
pulse11_corona23.mat,Processed,corona_pulse3_224x224.png,corona_pulse3_scalogram_labeled.png,"(224, 224, 3)",corona
pulse11_corona24.mat,Processed,corona_pulse4_224x224.png,corona_pulse4_scalogram_labeled.png,"(224, 224, 3)",corona
pulse12_corona23.mat,Processed,corona_pulse5_224x224.png,corona_pulse5_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona1.mat,Processed,corona_pulse6_224x224.png,corona_pulse6_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona10.mat,Processed,corona_pulse7_224x224.png,corona_pulse7_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona11.mat,Processed,corona_pulse8_224x224.png,corona_pulse8_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona12.mat,Processed,corona_pulse9_224x224.png,corona_pulse9_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona2.mat,Processed,corona_pulse10_224x224.png,corona_pulse10_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona21.mat,Processed,corona_pulse11_224x224.png,corona_pulse11_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona22.mat,Processed,corona_pulse12_224x224.png,corona_pulse12_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona23.mat,Processed,corona_pulse13_224x224.png,corona_pulse13_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona24.mat,Processed,corona_pulse14_224x224.png,corona_pulse14_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona25.mat,Processed,corona_pulse15_224x224.png,corona_pulse15_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona26.mat,Processed,corona_pulse16_224x224.png,corona_pulse16_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona27.mat,Processed,corona_pulse17_224x224.png,corona_pulse17_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona28.mat,Processed,corona_pulse18_224x224.png,corona_pulse18_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona3.mat,Processed,corona_pulse19_224x224.png,corona_pulse19_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona4.mat,Processed,corona_pulse20_224x224.png,corona_pulse20_scalogram_labeled.png,"(224, 224, 3)",corona
pulse1_corona5.mat,Processed,corona_pulse21_224x224.png,,"(224, 224, 3)",corona
pulse1_corona6.mat,Processed,corona_pulse22_224x224.png,,"(224, 224, 3)",corona
pulse1_corona7.mat,Processed,corona_pulse23_224x224.png,,"(224, 224, 3)",corona
pulse1_corona8.mat,Processed,corona_pulse24_224x224.png,,"(224, 224, 3)",corona
pulse1_corona9.mat,Processed,corona_pulse25_224x224.png,,"(224, 224, 3)",corona
pulse2_corona1.mat,Processed,corona_pulse26_224x224.png,,"(224, 224, 3)",corona
pulse2_corona10.mat,Processed,corona_pulse27_224x224.png,,"(224, 224, 3)",corona
pulse2_corona11.mat,Processed,corona_pulse28_224x224.png,,"(224, 224, 3)",corona
pulse2_corona12.mat,Processed,corona_pulse29_224x224.png,,"(224, 224, 3)",corona
pulse2_corona2.mat,Processed,corona_pulse30_224x224.png,,"(224, 224, 3)",corona
pulse2_corona21.mat,Processed,corona_pulse31_224x224.png,,"(224, 224, 3)",corona
pulse2_corona22.mat,Processed,corona_pulse32_224x224.png,,"(224, 224, 3)",corona
pulse2_corona23.mat,Processed,corona_pulse33_224x224.png,,"(224, 224, 3)",corona
pulse2_corona24.mat,Processed,corona_pulse34_224x224.png,,"(224, 224, 3)",corona
pulse2_corona25.mat,Processed,corona_pulse35_224x224.png,,"(224, 224, 3)",corona
pulse2_corona26.mat,Processed,corona_pulse36_224x224.png,,"(224, 224, 3)",corona
pulse2_corona27.mat,Processed,corona_pulse37_224x224.png,,"(224, 224, 3)",corona
pulse2_corona28.mat,Processed,corona_pulse38_224x224.png,,"(224, 224, 3)",corona
pulse2_corona3.mat,Processed,corona_pulse39_224x224.png,,"(224, 224, 3)",corona
pulse2_corona4.mat,Processed,corona_pulse40_224x224.png,,"(224, 224, 3)",corona
pulse2_corona5.mat,Processed,corona_pulse41_224x224.png,,"(224, 224, 3)",corona
pulse2_corona6.mat,Processed,corona_pulse42_224x224.png,,"(224, 224, 3)",corona
pulse2_corona7.mat,Processed,corona_pulse43_224x224.png,,"(224, 224, 3)",corona
pulse2_corona8.mat,Processed,corona_pulse44_224x224.png,,"(224, 224, 3)",corona
pulse2_corona9.mat,Processed,corona_pulse45_224x224.png,,"(224, 224, 3)",corona
pulse3_corona1.mat,Processed,corona_pulse46_224x224.png,,"(224, 224, 3)",corona
pulse3_corona10.mat,Processed,corona_pulse47_224x224.png,,"(224, 224, 3)",corona
pulse3_corona11.mat,Processed,corona_pulse48_224x224.png,,"(224, 224, 3)",corona
pulse3_corona12.mat,Processed,corona_pulse49_224x224.png,,"(224, 224, 3)",corona
pulse3_corona2.mat,Processed,corona_pulse50_224x224.png,,"(224, 224, 3)",corona
pulse3_corona21.mat,Processed,corona_pulse51_224x224.png,,"(224, 224, 3)",corona
pulse3_corona22.mat,Processed,corona_pulse52_224x224.png,,"(224, 224, 3)",corona
pulse3_corona23.mat,Processed,corona_pulse53_224x224.png,,"(224, 224, 3)",corona
pulse3_corona24.mat,Processed,corona_pulse54_224x224.png,,"(224, 224, 3)",corona
pulse3_corona26.mat,Processed,corona_pulse55_224x224.png,,"(224, 224, 3)",corona
pulse3_corona27.mat,Processed,corona_pulse56_224x224.png,,"(224, 224, 3)",corona
pulse3_corona28.mat,Processed,corona_pulse57_224x224.png,,"(224, 224, 3)",corona
pulse3_corona4.mat,Processed,corona_pulse58_224x224.png,,"(224, 224, 3)",corona
pulse3_corona8.mat,Processed,corona_pulse59_224x224.png,,"(224, 224, 3)",corona
pulse3_corona9.mat,Processed,corona_pulse60_224x224.png,,"(224, 224, 3)",corona
pulse4_corona1.mat,Processed,corona_pulse61_224x224.png,,"(224, 224, 3)",corona
pulse4_corona10.mat,Processed,corona_pulse62_224x224.png,,"(224, 224, 3)",corona
pulse4_corona11.mat,Processed,corona_pulse63_224x224.png,,"(224, 224, 3)",corona
pulse4_corona12.mat,Processed,corona_pulse64_224x224.png,,"(224, 224, 3)",corona
pulse4_corona2.mat,Processed,corona_pulse65_224x224.png,,"(224, 224, 3)",corona
pulse4_corona21.mat,Processed,corona_pulse66_224x224.png,,"(224, 224, 3)",corona
pulse4_corona23.mat,Processed,corona_pulse67_224x224.png,,"(224, 224, 3)",corona
pulse4_corona24.mat,Processed,corona_pulse68_224x224.png,,"(224, 224, 3)",corona
