"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_path","device","encoder_type","episode_num_train","episode_num_val","gamma","lambda_center","loss","lr","margin","mode","model","num_epochs","path_results","path_weights","project","query_num","seed","shot_num","step_size","temp","training_samples","way_num","best_val_acc","epoch","test_accuracy","test_f1","test_p_value","test_precision","test_recall","train_loss","val_acc"
"relationnet_5shot_contrastive_lambda0.1_all","finished","-","","","2025-12-05T16:27:12.000Z","99","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","relationnet","70","results/","checkpoints/","baseline_prpd_random_val","1","42","5","10","0.01","","2","1","70","0.9666666666666668","0.9666429460950008","8.787880039809484e-59","0.9679978605812088","0.9666666666666666","0.1601229652762413","0.99"
"relationnet_5shot_contrastive_lambda0.1_60samples","finished","-","","","2025-12-05T16:25:29.000Z","97","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","relationnet","70","results/","checkpoints/","baseline_prpd_random_val","1","42","5","10","0.01","60","2","0.995","70","0.94","0.939783219590526","1.859516624905584e-52","0.9464285714285714","0.94","0.15638986632227897","0.955"
"relationnet_5shot_contrastive_lambda0.1_12samples","finished","-","","","2025-12-05T16:23:50.000Z","93","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","relationnet","70","results/","checkpoints/","baseline_prpd_random_val","1","42","5","10","0.01","12","2","0.765","70","0.7066666666666667","0.6996040234855037","8.118276748024592e-13","0.7281200941915228","0.7066666666666667","0.1215183087438345","0.745"
"relationnet_1shot_contrastive_lambda0.1_all","finished","-","","","2025-12-05T16:21:32.000Z","132","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","relationnet","100","results/","checkpoints/","baseline_prpd_random_val","1","42","1","10","0.01","","2","0.95","100","0.8733333333333333","0.8730568794263062","2.945058221294105e-38","0.8766140602582496","0.8733333333333333","0.167413240224123","0.91"
"relationnet_1shot_contrastive_lambda0.1_60samples","finished","-","","","2025-12-05T16:19:12.000Z","134","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","relationnet","100","results/","checkpoints/","baseline_prpd_random_val","1","42","1","10","0.01","60","2","0.955","100","0.8366666666666667","0.8357009533815427","1.981950896733819e-31","0.8447726548632288","0.8366666666666667","0.16713783457875253","0.875"
"relationnet_1shot_contrastive_lambda0.1_12samples","finished","-","","","2025-12-05T16:16:55.000Z","131","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","relationnet","100","results/","checkpoints/","baseline_prpd_random_val","1","42","1","10","0.01","12","2","0.795","100","0.6933333333333334","0.6932106175803654","2.1235905826185615e-11","0.6936431623931624","0.6933333333333334","0.14019423022866248","0.71"
"matchingnet_5shot_contrastive_lambda0.1_all","finished","-","","","2025-12-05T16:11:12.000Z","336","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","matchingnet","70","results/","checkpoints/","baseline_prpd_random_val","1","42","5","10","0.01","","2","1","70","0.9933333333333332","0.9933330370238678","1.774838801620087e-65","0.993421052631579","0.9933333333333334","0.5220397740602494","1"
"matchingnet_5shot_contrastive_lambda0.1_60samples","finished","-","","","2025-12-05T16:05:36.000Z","330","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","matchingnet","70","results/","checkpoints/","baseline_prpd_random_val","1","42","5","10","0.01","60","2","1","70","0.9766666666666668","0.9766539560427344","2.996657362981554e-61","0.9777070063694268","0.9766666666666668","0.5090533342957496","1"
"matchingnet_5shot_contrastive_lambda0.1_12samples","finished","-","","","2025-12-05T15:59:39.000Z","350","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","matchingnet","70","results/","checkpoints/","baseline_prpd_random_val","1","42","5","10","0.01","12","2","0.915","70","0.8533333333333334","0.8532746431906095","1.9044114622406383e-34","0.8538995726495726","0.8533333333333333","0.46689104676246646","0.745"
"matchingnet_1shot_contrastive_lambda0.1_all","finished","-","","","2025-12-05T15:55:07.000Z","266","","1","./prpd_images_for_cnn/","cuda","paper","100","100","0.1","0.1","contrastive","0.0001","0.1","train","matchingnet","100","results/","checkpoints/","baseline_prpd_random_val","1","42","1","10","0.01","","2","1","100","0.9666666666666668","0.9666295884315907","8.787880039809484e-59","0.96875","0.9666666666666668","0.4970895203948021","1"
